Starting Balance:           1000.00
Annual Interest Rate:         0.035
Monthly Payment:             125.00
     Payment              Amount    Interest           Principal             Balance
           1              125.00        2.91              122.09              877.91
           2              125.00        2.56              122.44              755.47
           3              125.00        2.20              122.80              632.67
           4              125.00        1.84              123.16              509.51
           5              125.00        1.48              123.52              385.99
           6              125.00        1.12              123.88              262.11
           7              125.00        0.76              124.24              137.87
           8              125.00        0.40              124.60               13.27
           9               13.31        0.04               13.27                0.00


Total Payments Made: 9
Total Interest Paid: $13.31

Starting Balance:           5000.00
Annual Interest Rate:         0.040
Monthly Payment:             165.00
     Payment              Amount    Interest           Principal             Balance
           1              165.00       16.66              148.34             4851.66
           2              165.00       16.17              148.83             4702.83
           3              165.00       15.67              149.33             4553.50
           4              165.00       15.17              149.83             4403.67
           5              165.00       14.67              150.33             4253.34
           6              165.00       14.17              150.83             4102.51
           7              165.00       13.67              151.33             3951.18
           8              165.00       13.17              151.83             3799.35
           9              165.00       12.66              152.34             3647.01
          10              165.00       12.15              152.85             3494.16
          11              165.00       11.64              153.36             3340.80
          12              165.00       11.13              153.87             3186.93
          13              165.00       10.62              154.38             3032.55
          14              165.00       10.10              154.90             2877.65
          15              165.00        9.59              155.41             2722.24
          16              165.00        9.07              155.93             2566.31
          17              165.00        8.55              156.45             2409.86
          18              165.00        8.03              156.97             2252.89
          19              165.00        7.50              157.50             2095.39
          20              165.00        6.98              158.02             1937.37
          21              165.00        6.45              158.55             1778.82
          22              165.00        5.92              159.08             1619.74
          23              165.00        5.39              159.61             1460.13
          24              165.00        4.86              160.14             1299.99
          25              165.00        4.33              160.67             1139.32
          26              165.00        3.79              161.21              978.11
          27              165.00        3.26              161.74              816.37
          28              165.00        2.72              162.28              654.09
          29              165.00        2.18              162.82              491.27
          30              165.00        1.63              163.37              327.90
          31              165.00        1.09              163.91              163.99
          32              164.54        0.55              163.99                0.00


Total Payments Made: 32
Total Interest Paid: $279.54

Starting Balance:         200000.00
Annual Interest Rate:         0.055
Monthly Payment:            1100.00
     Payment              Amount    Interest           Principal             Balance
           1             1100.00      916.66              183.34           199816.66
           2             1100.00      915.82              184.18           199632.48
           3             1100.00      914.98              185.02           199447.46
           4             1100.00      914.13              185.87           199261.59
           5             1100.00      913.28              186.72           199074.87
           6             1100.00      912.42              187.58           198887.29
           7             1100.00      911.56              188.44           198698.85
